target_lon,target_lat
-71.06962559,42.37025693
-71.11195858,42.3801581
-71.09908872,42.3711934
-71.1030871,42.37323027
-71.11645397,42.37004871
-71.07412787,42.37041268
-71.12034486,42.37290099
-71.10026859,42.3601545
-71.10451272,42.36031668
-71.09955059,42.36526812
-71.1025353,42.3667081
-71.10599362,42.35680584
-71.10509196,42.35533706
-71.10321695,42.3628798
-71.09974327,42.36494244
-71.1042864,42.36108035
-71.09576141,42.37166119
-71.09386902,42.35656737
-71.10380375,42.35883004
-71.10379183,42.36300865
-71.08482478,42.36580045
-71.12012689,42.38581165
-71.12003294,42.3898663
-71.12088356,42.38593287
-71.08779438,42.36178042
-71.08987098,42.37337624
-71.1013295,42.36334462
-71.10129318,42.3686047
-71.10557936,42.36340637
-71.14494949,42.39437035
-71.10313278,42.35924791
-71.08571552,42.360176
-71.11152625,42.3584109
-71.11978485,42.37326234
-71.10629087,42.35774241
-71.08839543,42.36347756
-71.09375344,42.36018961
-71.13110298,42.37566254
-71.09342746,42.35764491
-71.09371104,42.36337264
-71.11073077,42.36236979
-71.08172925,42.36790338
-71.12287166,42.37431797
-71.09351742,42.35825592
-71.10301322,42.36460607
-71.11398835,42.36846345
-71.11299781,42.35969738
-71.12148989,42.37240218
-71.11612978,42.37220777
-71.09239917,42.35900791
-71.10672265,42.35520356
-71.10193724,42.35468679
-71.10392082,42.36277355
-71.10587342,42.364663
-71.10257043,42.3653857
-71.09382272,42.35725044
-71.09375344,42.36018961
-71.08353677,42.36120873
-71.11506855,42.37103947
-71.08197325,42.36345317
-71.09277125,42.35952966
-71.0852497,42.36268232
-71.11025826,42.357001
-71.11286246,42.37187128
-71.1212225,42.37505935
-71.08726449,42.36220002
-71.09971141,42.35963531
-71.09698226,42.36997425
-71.09342746,42.35764491
-71.08749692,42.36175463
-71.08585858,42.3621407
-71.10050634,42.36303408
-71.10693143,42.3623803
-71.11262012,42.35803927
-71.10855824,42.36674749
-71.09549603,42.36978486
-71.11837274,42.37976593
-71.11100933,42.3777465
-71.15356447,42.37872902
-71.08072605,42.3678359
-71.13499727,42.3821581
-71.1082937,42.367327
-71.0852497,42.36268232
-71.10603505,42.36567893
-71.11358123,42.3698537
-71.09417986,42.36633397
-71.1024897,42.37038254
-71.10329255,42.36382929
-71.10108781,42.3652503
-71.09415183,42.36077089
-71.10918697,42.3634085
-71.10681494,42.35689604
-71.08748081,42.36280808
-71.09515103,42.35963438
-71.10112653,42.36420959
-71.0920709,42.35976105
-71.14333318,42.39316162
-71.13548627,42.37662054
-71.09940723,42.36461269
-71.11311042,42.35801462
-71.08662682,42.36103454
-71.08658655,42.36563097
-71.10312856,42.36178092
-71.07875286,42.37117072
-71.10780929,42.37388647
-71.0920709,42.35976105
-71.11650707,42.37346313
-71.11172134,42.35769145
-71.11560012,42.37069093
-71.09358036,42.36129295
-71.12058176,42.38783435
-71.10399578,42.36364321
-71.08865214,42.36359773
-71.08926099,42.36230362
-71.09588912,42.36141013
-71.09508725,42.35692037
-71.09530761,42.36631348
-71.07950709,42.36770791
-71.08589755,42.36456688
-71.07527895,42.36855569
-71.08308255,42.36418165
-71.09359798,42.36380628
-71.08779438,42.36178042
-71.09356923,42.36433892
-71.11203992,42.3590123
-71.12392013,42.37953222
-71.0920709,42.35976105
-71.07907531,42.36778735
-71.1352425,42.38106203
-71.09937753,42.36659216
-71.08779438,42.36178042
-71.11832716,42.38466099
-71.11954602,42.37257959
-71.08583245,42.36871963
-71.10132058,42.36092227
-71.10357572,42.36568978
-71.11728952,42.3785938
-71.11368557,42.35908565
-71.09771845,42.3634781
-71.1108696,42.36648934
-71.0737471,42.37096367
-71.11283745,42.37453802
-71.08703295,42.36499122
-71.09893701,42.36210807
-71.11955099,42.37750414
-71.10597068,42.36397922
-71.09918245,42.36541835
-71.09166017,42.36144606
-71.11459527,42.36750796
-71.09108474,42.35945066
-71.10325886,42.3549911
-71.0848419,42.3641353
-71.11828098,42.37215978
-71.11230158,42.37636354
-71.09912314,42.3598559
-71.1137731,42.35818935
-71.09832586,42.37283145
-71.10381788,42.36333123
-71.11153995,42.35669808
-71.09108474,42.35945066
-71.12087175,42.37247535
-71.1120306,42.3564675
-71.11106871,42.35812082
-71.08472255,42.36206325
-71.08513341,42.36435134
