start_lon,start_lat
-71.11429663,42.37696184
-71.11909163,42.37345399
-71.10394196,42.36261784
-71.12270713,42.38183053
-71.1219793,42.37545994
-71.09647887,42.36904774
-71.11887902,42.37788835
-71.09903357,42.36825188
-71.08662682,42.36103454
-71.08947037,42.37125141
-71.08875725,42.373213
-71.08662682,42.36103454
-71.08749692,42.36175463
-71.0852497,42.36268232
-71.08623358,42.36270448
-71.08585858,42.3621407
-71.12236684,42.38729695
-71.0919839,42.36068363
-71.10339658,42.36326817
-71.08241274,42.37034863
-71.08589028,42.36840894
-71.1080521,42.36683508
-71.10422952,42.36605828
-71.10382846,42.36730935
-71.11768465,42.37207091
-71.08506604,42.37134437
-71.09018309,42.35878749
-71.08437962,42.37056867
-71.11775275,42.37956752
-71.08839543,42.36347756
-71.08749692,42.36175463
-71.09397793,42.35837618
-71.10238887,42.37191029
-71.12406255,42.37930818
-71.10283563,42.36101023
-71.1060889,42.3576161
-71.08151109,42.3633744
-71.11591196,42.37318099
-71.09825448,42.35935225
-71.10056805,42.35515729
-71.10698274,42.35612677
-71.10208955,42.36479526
-71.09856075,42.37242572
-71.104429,42.36994163
-71.10001588,42.36111281
-71.11238678,42.37301833
-71.09356732,42.3597581
-71.10418867,42.36250834
-71.10093393,42.36545398
-71.11548702,42.36939145
-71.11067977,42.36021417
-71.09154305,42.36022305
-71.09648159,42.368826
-71.10309869,42.36141082
-71.09322601,42.36070129
-71.10633028,42.35573662
-71.11075692,42.35692967
-71.09239917,42.35900791
-71.09802106,42.3706019
-71.08798769,42.36599941
-71.11025826,42.357001
-71.10706896,42.35589517
-71.08308255,42.36418165
-71.11522547,42.37040782
-71.11879432,42.38099869
-71.09814005,42.37256113
-71.09866292,42.36440426
-71.1008036,42.3544471
-71.10314557,42.35543977
-71.10573217,42.35621742
-71.09998198,42.37114079
-71.10342263,42.36111121
-71.11397138,42.36860379
-71.10580777,42.35785852
-71.10357572,42.36568978
-71.1230142,42.37867317
-71.11520049,42.36460451
-71.10362639,42.3612509
-71.09899665,42.3631759
-71.07278645,42.37029635
-71.14080046,42.38238963
-71.10264618,42.36366084
-71.1127564,42.35662615
-71.10026917,42.36517517
-71.0986207,42.36606122
-71.11453872,42.3679955
-71.12060605,42.3813576
-71.10359333,42.36757518
-71.10086983,42.36993405
-71.1019281,42.35765892
-71.09767028,42.36768318
-71.11203156,42.35742762
-71.10339495,42.36152203
-71.09894058,42.36911557
-71.08667725,42.36321684
-71.08934074,42.36031884
-71.1419592,42.391845
-71.15446701,42.37853672
-71.09919702,42.36567915
-71.08176385,42.36284228
-71.09968206,42.36960931
-71.09652345,42.35858321
-71.09955199,42.35810938
-71.08803447,42.37245913
-71.12261964,42.37974393
-71.0987204,42.36003573
-71.1224504,42.37869051
-71.10766709,42.36027894
-71.11368755,42.35831818
-71.10714935,42.35664669
-71.12154004,42.37353602
-71.10270745,42.3675912
-71.10599362,42.35680584
-71.1019281,42.35765892
-71.11368755,42.35831818
-71.10706896,42.35589517
-71.10605655,42.35851695
-71.10528882,42.35905921
-71.10285166,42.35797057
-71.1040155,42.35828134
-71.11194571,42.35696988
-71.08427471,42.36821541
-71.11132225,42.3628589
-71.1135046,42.35916909
-71.10302827,42.35700105
-71.11149024,42.37592217
-71.08259307,42.36940932
-71.0908886,42.37319503
-71.11915848,42.3900816
-71.11928202,42.37203532
-71.09730885,42.37308636
-71.11367567,42.3689566
-71.10235487,42.3732477
-71.08064675,42.36771485
-71.10580777,42.35785852
-71.09369219,42.36759899
-71.11827925,42.3854403
-71.08934074,42.36031884
-71.10081875,42.35828273
-71.13105272,42.37660924
-71.08674479,42.37232161
-71.11925814,42.37669708
-71.07527895,42.36855569
-71.09505494,42.35814262
-71.11711994,42.3718833
-71.09682789,42.36366148
-71.11282545,42.35951711
-71.0906772,42.373622
-71.10364918,42.35807814
-71.09951232,42.36892975
-71.11091922,42.35757278
-71.10026859,42.3601545
-71.1207433,42.38112295
-71.08938704,42.37095256
-71.08617738,42.36479214
-71.10285166,42.35797057
-71.11547983,42.37274932
-71.099509,42.36051361
-71.10008753,42.36199203
-71.08472255,42.36206325
-71.11815295,42.37406265
-71.09378565,42.3574682
-71.09508725,42.35692037
-71.0987204,42.36003573
-71.10287613,42.36742885
-71.10446756,42.35942535
-71.09620912,42.36679861
-71.08902073,42.36883154
-71.11363522,42.3733403
-71.10286483,42.37054141
-71.10577374,42.371415
-71.08785475,42.37045389
-71.10420252,42.36733158
-71.10220888,42.36635467
-71.09067307,42.35941899
-71.0823343,42.36889995
-71.07927723,42.362949
-71.10359333,42.36757518
-71.09126603,42.37294828
-71.10582256,42.3636675
-71.11173145,42.36683313
-71.11666709,42.37171527
-71.0801518,42.3649565
-71.09036815,42.3708037
-71.11317675,42.35873333
-71.09934808,42.36146794
-71.09504333,42.35938232
-71.08546297,42.36210025
-71.10596352,42.36218265
-71.09639032,42.370958
-71.10290081,42.36383966
-71.10698274,42.35612677
-71.11327645,42.37813412
-71.1040155,42.35828134
-71.08623358,42.36270448
-71.10333847,42.36227462
-71.0912497,42.36794987
-71.08550816,42.36192178
-71.10104903,42.36670244
-71.10480885,42.36286173
-71.10270635,42.36287007
-71.1092277,42.3729597
-71.0875068,42.37018625
-71.09485891,42.3562401
-71.11069004,42.35848661
-71.11970642,42.37357916
-71.10104903,42.36670244
-71.11809624,42.3733812
-71.08136392,42.36437823
-71.0815805,42.36302972
-71.11469105,42.36555005
-71.10724586,42.356422
-71.11200345,42.36637075
-71.10597068,42.36397922
-71.10325886,42.3549911
