Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-10-28 16:09:09,0.0,bike2,idle,nil,nil,nil,32785,40000,false,tagRFID(185),tagRFID(118),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike1,idle,nil,nil,nil,36577,40000,false,tagRFID(160),tagRFID(268),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike0,idle,nil,nil,nil,33069,40000,false,tagRFID(155),tagRFID(153),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike18,idle,nil,bike(35),nil,30660,40000,false,tagRFID(40),tagRFID(80),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike17,idle,nil,nil,nil,36690,40000,false,tagRFID(164),tagRFID(157),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike16,idle,nil,nil,nil,32861,40000,false,tagRFID(62),tagRFID(63),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike15,idle,nil,nil,nil,31344,40000,false,tagRFID(40),tagRFID(80),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike14,idle,nil,nil,nil,34294,40000,false,tagRFID(51),tagRFID(28),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike13,idle,nil,nil,nil,33364,40000,false,tagRFID(116),tagRFID(22),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike12,idle,nil,nil,nil,38902,40000,false,tagRFID(259),tagRFID(286),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike11,idle,nil,nil,nil,37513,40000,false,tagRFID(234),tagRFID(217),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike10,idle,nil,nil,nil,32087,40000,false,tagRFID(264),tagRFID(85),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike9,idle,nil,nil,nil,34891,40000,false,tagRFID(154),tagRFID(149),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike8,idle,nil,nil,nil,30631,40000,false,tagRFID(190),tagRFID(154),0.0,0.0,0.0
0,2021-10-28 16:09:09,0.0,bike7,idle,nil,bike(30),nil,30576,40000,false,tagRFID(222),tagRFID(187),0.0,0.0,0.0
