Cycle,Time (real),Time (simulation),Agent,Start Time,End Time,Duration,Start Battery,End Battery
38,2021-11-02 19:55:00,1330.0,bike18,210.0,1330.0,1120.0,34328,35276
41,2021-11-02 19:55:02,1435.0,bike36,140.0,1435.0,1295.0,32764,33867
44,2021-11-02 19:55:03,1540.0,bike16,175.0,1540.0,1365.0,33193,34378
