Cycle,Time (real),Time (simulation),Agent,Distance Traveled,Num Intersections
0,2021-11-02 19:54:33,0.0,bike0,48.65000000000001,2
0,2021-11-02 19:54:33,0.0,bike1,48.65000000000002,1
0,2021-11-02 19:54:33,0.0,bike2,48.650000000000034,2
0,2021-11-02 19:54:33,0.0,bike3,48.64999999999999,1
0,2021-11-02 19:54:33,0.0,bike4,48.64999999999999,2
0,2021-11-02 19:54:33,0.0,bike5,48.64999999999998,1
0,2021-11-02 19:54:33,0.0,bike6,48.65000000000003,1
0,2021-11-02 19:54:33,0.0,bike7,48.65000000000002,2
0,2021-11-02 19:54:33,0.0,bike8,48.649999999999956,2
0,2021-11-02 19:54:33,0.0,bike9,48.65000000000001,1
0,2021-11-02 19:54:33,0.0,bike10,48.65000000000006,2
0,2021-11-02 19:54:33,0.0,bike11,48.64999999999998,1
0,2021-11-02 19:54:33,0.0,bike12,48.649999999999956,1
0,2021-11-02 19:54:33,0.0,bike13,48.65000000000005,1
0,2021-11-02 19:54:33,0.0,bike14,48.649999999999984,2
0,2021-11-02 19:54:33,0.0,bike15,48.65000000000002,1
0,2021-11-02 19:54:33,0.0,bike16,48.64999999999999,1
0,2021-11-02 19:54:33,0.0,bike17,48.64999999999996,1
0,2021-11-02 19:54:33,0.0,bike18,48.6500000000001,2
0,2021-11-02 19:54:33,0.0,bike19,48.65000000000007,1
0,2021-11-02 19:54:33,0.0,bike20,48.65000000000001,1
0,2021-11-02 19:54:33,0.0,bike21,48.64999999999999,1
0,2021-11-02 19:54:33,0.0,bike22,48.65000000000004,1
0,2021-11-02 19:54:33,0.0,bike23,48.64999999999993,2
0,2021-11-02 19:54:33,0.0,bike24,48.650000000000006,1
0,2021-11-02 19:54:33,0.0,bike25,48.64999999999998,2
0,2021-11-02 19:54:33,0.0,bike26,48.64999999999998,1
0,2021-11-02 19:54:33,0.0,bike27,48.65,1
0,2021-11-02 19:54:33,0.0,bike28,48.65,1
0,2021-11-02 19:54:33,0.0,bike29,48.649999999999906,1
