Cycle,Time (real),Time (simulation),Agent,Distance Traveled,Num Intersections
4,2021-11-04 15:49:30,140.0,bike15,48.6500000000001,1
4,2021-11-04 15:49:30,140.0,bike16,48.64999999999997,1
4,2021-11-04 15:49:30,140.0,bike18,77.70000000000003,1
4,2021-11-04 15:49:30,140.0,bike19,48.64999999999999,0
5,2021-11-04 15:49:30,175.0,bike0,48.65000000000004,1
5,2021-11-04 15:49:30,175.0,bike1,48.64999999999999,1
5,2021-11-04 15:49:30,175.0,bike2,48.65,1
5,2021-11-04 15:49:30,175.0,bike3,48.650000000000034,1
5,2021-11-04 15:49:30,175.0,bike4,48.64999999999999,1
5,2021-11-04 15:49:30,175.0,bike6,48.649999999999956,2
5,2021-11-04 15:49:30,175.0,bike8,48.64999999999999,0
5,2021-11-04 15:49:30,175.0,bike9,48.65000000000005,0
5,2021-11-04 15:49:30,175.0,bike10,48.650000000000006,1
5,2021-11-04 15:49:30,175.0,bike11,48.64999999999996,1
5,2021-11-04 15:49:30,175.0,bike12,48.649999999999906,1
5,2021-11-04 15:49:30,175.0,bike14,48.650000000000105,1
5,2021-11-04 15:49:30,175.0,bike15,48.65000000000009,1
5,2021-11-04 15:49:30,175.0,bike16,48.65000000000001,0
5,2021-11-04 15:49:30,175.0,bike17,48.649999999999984,1
5,2021-11-04 15:49:30,175.0,bike18,77.69999999999995,1
5,2021-11-04 15:49:30,175.0,bike19,48.649999999999935,1
6,2021-11-04 15:49:31,210.0,bike0,48.64999999999996,1
6,2021-11-04 15:49:31,210.0,bike1,48.64999999999998,1
6,2021-11-04 15:49:31,210.0,bike2,48.650000000000034,0
6,2021-11-04 15:49:31,210.0,bike3,48.64999999999998,1
6,2021-11-04 15:49:31,210.0,bike4,48.64999999999998,2
6,2021-11-04 15:49:31,210.0,bike6,48.650000000000034,1
6,2021-11-04 15:49:31,210.0,bike8,48.64999999999999,1
6,2021-11-04 15:49:31,210.0,bike9,48.64999999999998,0
6,2021-11-04 15:49:31,210.0,bike10,48.650000000000006,0
6,2021-11-04 15:49:31,210.0,bike11,48.64999999999998,1
6,2021-11-04 15:49:31,210.0,bike12,48.64999999999999,0
6,2021-11-04 15:49:31,210.0,bike14,48.650000000000006,1
6,2021-11-04 15:49:31,210.0,bike15,48.650000000000006,1
6,2021-11-04 15:49:31,210.0,bike16,48.64999999999999,1
6,2021-11-04 15:49:31,210.0,bike17,48.65000000000001,1
6,2021-11-04 15:49:31,210.0,bike18,77.69999999999995,0
6,2021-11-04 15:49:31,210.0,bike19,48.65000000000001,0
7,2021-11-04 15:49:32,245.0,bike0,48.65000000000001,0
7,2021-11-04 15:49:32,245.0,bike1,48.64999999999997,1
7,2021-11-04 15:49:32,245.0,bike2,48.649999999999956,0
7,2021-11-04 15:49:32,245.0,bike3,48.650000000000034,0
7,2021-11-04 15:49:32,245.0,bike4,48.64999999999998,0
7,2021-11-04 15:49:32,245.0,bike6,48.64999999999995,1
7,2021-11-04 15:49:32,245.0,bike8,48.65,1
7,2021-11-04 15:49:32,245.0,bike9,48.65000000000003,1
7,2021-11-04 15:49:32,245.0,bike10,48.650000000000006,0
7,2021-11-04 15:49:32,245.0,bike11,48.64999999999995,0
7,2021-11-04 15:49:32,245.0,bike12,48.64999999999999,0
7,2021-11-04 15:49:32,245.0,bike14,48.650000000000006,0
7,2021-11-04 15:49:32,245.0,bike15,48.650000000000034,1
7,2021-11-04 15:49:32,245.0,bike16,48.65,0
7,2021-11-04 15:49:32,245.0,bike17,48.64999999999999,1
7,2021-11-04 15:49:32,245.0,bike18,77.70000000000002,1
8,2021-11-04 15:49:33,280.0,bike1,48.64999999999997,1
8,2021-11-04 15:49:33,280.0,bike2,48.65000000000002,0
8,2021-11-04 15:49:33,280.0,bike3,48.650000000000034,0
8,2021-11-04 15:49:33,280.0,bike4,48.65000000000006,1
8,2021-11-04 15:49:33,280.0,bike6,48.65000000000003,0
8,2021-11-04 15:49:33,280.0,bike8,48.650000000000006,0
8,2021-11-04 15:49:33,280.0,bike9,48.65000000000003,0
8,2021-11-04 15:49:33,280.0,bike10,48.65000000000001,0
8,2021-11-04 15:49:33,280.0,bike11,48.65000000000007,0
8,2021-11-04 15:49:33,280.0,bike12,48.649999999999984,1
8,2021-11-04 15:49:33,280.0,bike14,48.65000000000001,1
8,2021-11-04 15:49:33,280.0,bike15,48.65,1
8,2021-11-04 15:49:33,280.0,bike16,48.65000000000002,1
8,2021-11-04 15:49:33,280.0,bike17,48.65000000000001,1
8,2021-11-04 15:49:33,280.0,bike18,31.241572661094562,0
8,2021-11-04 15:49:33,280.0,bike19,77.69999999999999,1
9,2021-11-04 15:49:33,315.0,bike1,48.64999999999999,1
9,2021-11-04 15:49:33,315.0,bike2,48.65000000000003,1
9,2021-11-04 15:49:33,315.0,bike3,48.65000000000006,1
9,2021-11-04 15:49:34,315.0,bike4,48.64999999999989,1
9,2021-11-04 15:49:34,315.0,bike6,48.65000000000002,1
9,2021-11-04 15:49:34,315.0,bike8,48.65000000000001,1
9,2021-11-04 15:49:34,315.0,bike9,48.65000000000003,0
9,2021-11-04 15:49:34,315.0,bike10,48.65000000000001,0
9,2021-11-04 15:49:34,315.0,bike11,48.65000000000002,1
9,2021-11-04 15:49:34,315.0,bike12,48.64999999999999,0
9,2021-11-04 15:49:34,315.0,bike14,48.650000000000006,1
9,2021-11-04 15:49:34,315.0,bike15,48.64999999999999,1
9,2021-11-04 15:49:34,315.0,bike16,48.64999999999996,1
9,2021-11-04 15:49:34,315.0,bike17,48.650000000000006,1
9,2021-11-04 15:49:34,315.0,bike19,77.70000000000002,1
10,2021-11-04 15:49:34,350.0,bike1,48.65000000000001,0
10,2021-11-04 15:49:34,350.0,bike2,48.64999999999998,1
10,2021-11-04 15:49:34,350.0,bike3,48.650000000000006,1
10,2021-11-04 15:49:34,350.0,bike4,48.64999999999989,0
10,2021-11-04 15:49:34,350.0,bike5,48.64999999999989,0
10,2021-11-04 15:49:34,350.0,bike6,48.649999999999956,1
10,2021-11-04 15:49:34,350.0,bike8,48.65000000000001,0
10,2021-11-04 15:49:34,350.0,bike9,48.65000000000003,0
10,2021-11-04 15:49:34,350.0,bike10,48.65000000000001,1
10,2021-11-04 15:49:34,350.0,bike11,48.65000000000006,0
10,2021-11-04 15:49:34,350.0,bike12,48.64999999999999,0
10,2021-11-04 15:49:34,350.0,bike14,48.650000000000006,0
10,2021-11-04 15:49:34,350.0,bike15,48.64999999999993,1
10,2021-11-04 15:49:34,350.0,bike16,48.650000000000034,0
10,2021-11-04 15:49:34,350.0,bike17,48.64999999999996,0
10,2021-11-04 15:49:34,350.0,bike19,77.69999999999996,1
11,2021-11-04 15:49:35,385.0,bike1,48.64999999999996,1
11,2021-11-04 15:49:35,385.0,bike2,48.64999999999999,0
11,2021-11-04 15:49:35,385.0,bike3,48.65000000000001,0
11,2021-11-04 15:49:35,385.0,bike4,48.65000000000011,1
11,2021-11-04 15:49:35,385.0,bike5,48.649999999999885,0
11,2021-11-04 15:49:35,385.0,bike6,48.650000000000034,2
11,2021-11-04 15:49:35,385.0,bike8,48.65000000000001,1
11,2021-11-04 15:49:35,385.0,bike9,48.65000000000003,0
11,2021-11-04 15:49:35,385.0,bike10,48.65000000000001,0
11,2021-11-04 15:49:35,385.0,bike11,48.649999999999935,0
11,2021-11-04 15:49:35,385.0,bike12,48.649999999999984,1
11,2021-11-04 15:49:35,385.0,bike14,48.65000000000005,1
11,2021-11-04 15:49:35,385.0,bike15,48.65000000000006,1
11,2021-11-04 15:49:35,385.0,bike16,48.64999999999998,1
11,2021-11-04 15:49:35,385.0,bike17,48.64952543110507,3
11,2021-11-04 15:49:35,385.0,bike19,77.70000000000007,0
12,2021-11-04 15:49:36,420.0,bike1,48.650000000000034,1
12,2021-11-04 15:49:36,420.0,bike2,48.64999999999999,0
12,2021-11-04 15:49:36,420.0,bike3,48.65,1
12,2021-11-04 15:49:36,420.0,bike4,48.65000000000008,1
12,2021-11-04 15:49:36,420.0,bike5,48.64999999999998,1
12,2021-11-04 15:49:36,420.0,bike6,48.65000000000003,1
12,2021-11-04 15:49:36,420.0,bike8,48.64999999999999,1
12,2021-11-04 15:49:36,420.0,bike9,48.65000000000003,0
12,2021-11-04 15:49:36,420.0,bike10,48.650000000000006,0
12,2021-11-04 15:49:36,420.0,bike11,48.65000000000006,0
12,2021-11-04 15:49:36,420.0,bike12,48.64999999999999,0
