Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-11-04 15:49:25,0.0,bike17,awaiting_follower,nil,bike(13),nil,32188,40000,false,tagRFID(67),tagRFID(66),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike16,idle,nil,nil,nil,38156,40000,false,tagRFID(28),tagRFID(52),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike19,idle,nil,nil,nil,37897,40000,false,tagRFID(138),tagRFID(139),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike18,idle,nil,nil,nil,38854,40000,false,tagRFID(195),tagRFID(196),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike13,seeking_leader,nil,nil,bike(17),37798,40000,false,tagRFID(89),tagRFID(229),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike12,awaiting_follower,nil,bike(7),nil,31589,40000,false,tagRFID(226),tagRFID(316),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike15,idle,nil,nil,nil,39622,40000,false,tagRFID(146),tagRFID(143),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike14,idle,nil,nil,nil,38929,40000,false,tagRFID(143),tagRFID(128),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike9,idle,nil,nil,nil,39770,40000,false,tagRFID(191),tagRFID(272),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike8,idle,nil,nil,nil,37079,40000,false,tagRFID(40),tagRFID(41),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike11,idle,nil,nil,nil,31284,40000,false,tagRFID(97),tagRFID(170),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike10,idle,nil,nil,nil,36170,40000,false,tagRFID(172),tagRFID(170),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike5,idle,nil,nil,nil,31879,40000,false,tagRFID(275),tagRFID(216),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike4,idle,nil,nil,nil,32737,40000,false,tagRFID(252),tagRFID(251),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike7,seeking_leader,nil,nil,bike(12),38175,40000,false,tagRFID(317),tagRFID(315),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike6,idle,nil,nil,nil,33004,40000,false,tagRFID(267),tagRFID(270),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike1,idle,nil,nil,nil,39629,40000,false,tagRFID(21),tagRFID(15),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike0,idle,nil,nil,nil,31378,40000,false,tagRFID(81),tagRFID(83),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike3,idle,nil,nil,nil,33220,40000,false,tagRFID(90),tagRFID(91),0.0,0.0,0.0
0,2021-11-04 15:49:25,0.0,bike2,idle,nil,nil,nil,34991,40000,false,tagRFID(212),tagRFID(192),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike17,awaiting_follower,nil,bike(13),nil,32188,40000,false,tagRFID(67),tagRFID(66),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike16,idle,nil,nil,nil,38107,40000,false,tagRFID(52),tagRFID(203),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike19,idle,nil,nil,nil,37849,40000,false,tagRFID(139),tagRFID(165),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike18,idle,nil,nil,nil,38805,40000,false,tagRFID(196),tagRFID(282),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike13,seeking_leader,nil,nil,bike(17),37798,40000,true,tagRFID(89),tagRFID(229),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike12,awaiting_follower,nil,bike(7),nil,31589,40000,false,tagRFID(226),tagRFID(316),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike15,idle,nil,nil,nil,39573,40000,false,tagRFID(143),tagRFID(128),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike14,idle,nil,nil,nil,38881,40000,false,tagRFID(128),tagRFID(299),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike9,idle,nil,nil,nil,39722,40000,false,tagRFID(191),tagRFID(272),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike8,idle,nil,nil,nil,37031,40000,false,tagRFID(40),tagRFID(42),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike11,idle,nil,nil,nil,31236,40000,false,tagRFID(97),tagRFID(170),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike10,idle,nil,nil,nil,36121,40000,false,tagRFID(172),tagRFID(170),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike5,idle,nil,nil,nil,31831,40000,false,tagRFID(275),tagRFID(216),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike4,idle,nil,nil,nil,32689,40000,false,tagRFID(251),tagRFID(178),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike7,seeking_leader,nil,nil,bike(12),38175,40000,true,tagRFID(317),tagRFID(315),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike6,idle,nil,nil,nil,32955,40000,false,tagRFID(270),tagRFID(189),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike1,idle,nil,nil,nil,39581,40000,false,tagRFID(15),tagRFID(21),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike0,idle,nil,nil,nil,31329,40000,false,tagRFID(83),tagRFID(158),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike3,idle,nil,nil,nil,33171,40000,false,tagRFID(90),tagRFID(91),0.0,0.0,0.0
1,2021-11-04 15:49:27,35.0,bike2,idle,nil,nil,nil,34943,40000,false,tagRFID(212),tagRFID(192),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike17,awaiting_follower,nil,bike(13),nil,32188,40000,false,tagRFID(67),tagRFID(66),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike16,idle,nil,nil,nil,38058,40000,false,tagRFID(52),tagRFID(203),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike19,idle,nil,nil,nil,37800,40000,false,tagRFID(139),tagRFID(165),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike18,seeking_leader,nil,nil,bike(5),38757,40000,false,tagRFID(196),tagRFID(282),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike13,seeking_leader,nil,nil,bike(17),37721,40000,true,tagRFID(89),tagRFID(89),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike12,awaiting_follower,nil,bike(7),nil,31589,40000,false,tagRFID(226),tagRFID(316),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike15,idle,nil,nil,nil,39525,40000,false,tagRFID(128),tagRFID(299),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike14,idle,nil,nil,nil,38832,40000,false,tagRFID(299),tagRFID(128),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike9,idle,nil,nil,nil,39673,40000,false,tagRFID(191),tagRFID(272),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike8,idle,nil,nil,nil,36982,40000,false,tagRFID(40),tagRFID(80),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike11,idle,nil,nil,nil,31187,40000,false,tagRFID(170),tagRFID(97),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike10,idle,nil,nil,nil,36072,40000,false,tagRFID(172),tagRFID(170),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike5,idle,nil,bike(18),nil,31782,40000,false,tagRFID(216),tagRFID(109),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike4,idle,nil,nil,nil,32640,40000,false,tagRFID(178),tagRFID(250),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike7,seeking_leader,nil,nil,bike(12),38097,40000,true,tagRFID(315),tagRFID(315),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike6,idle,nil,nil,nil,32906,40000,false,tagRFID(270),tagRFID(189),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike1,idle,nil,nil,nil,39532,40000,false,tagRFID(21),tagRFID(107),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike0,idle,nil,nil,nil,31281,40000,false,tagRFID(83),tagRFID(158),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike3,idle,nil,nil,nil,33122,40000,false,tagRFID(91),tagRFID(229),0.0,0.0,0.0
2,2021-11-04 15:49:28,70.0,bike2,idle,nil,nil,nil,34894,40000,false,tagRFID(212),tagRFID(192),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike17,awaiting_follower,nil,bike(13),nil,32188,40000,false,tagRFID(67),tagRFID(66),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike16,idle,nil,nil,nil,38010,40000,false,tagRFID(203),tagRFID(52),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike19,idle,nil,nil,nil,37752,40000,false,tagRFID(165),tagRFID(232),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike18,seeking_leader,nil,nil,bike(5),38757,40000,true,tagRFID(196),tagRFID(282),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike13,seeking_leader,nil,nil,bike(17),37643,40000,true,tagRFID(78),tagRFID(67),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike12,idle,nil,bike(7),nil,31589,40000,false,tagRFID(226),tagRFID(316),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike15,idle,nil,nil,nil,39476,40000,false,tagRFID(299),tagRFID(128),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike14,idle,nil,nil,nil,38783,40000,false,tagRFID(128),tagRFID(141),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike9,idle,nil,nil,nil,39624,40000,false,tagRFID(191),tagRFID(272),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike8,idle,nil,nil,nil,36933,40000,false,tagRFID(40),tagRFID(80),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike11,idle,nil,nil,nil,31138,40000,false,tagRFID(170),tagRFID(97),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike10,idle,nil,nil,nil,36024,40000,false,tagRFID(172),tagRFID(170),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike5,awaiting_follower,nil,bike(18),nil,31733,40000,false,tagRFID(216),tagRFID(109),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike4,idle,nil,nil,nil,32591,40000,false,tagRFID(178),tagRFID(250),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike7,following,nil,nil,bike(12),38063,40000,false,tagRFID(316),tagRFID(315),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike6,idle,nil,nil,nil,32858,40000,false,tagRFID(270),tagRFID(189),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike1,idle,nil,nil,nil,39484,40000,false,tagRFID(107),tagRFID(180),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike0,idle,nil,nil,nil,31232,40000,false,tagRFID(83),tagRFID(158),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike3,idle,nil,nil,nil,33074,40000,false,tagRFID(229),tagRFID(91),0.0,0.0,0.0
3,2021-11-04 15:49:29,105.0,bike2,idle,nil,nil,nil,34845,40000,false,tagRFID(192),tagRFID(175),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike17,idle,nil,bike(13),nil,32188,40000,false,tagRFID(67),tagRFID(66),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike16,idle,nil,nil,nil,37961,40000,false,tagRFID(52),tagRFID(28),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike19,idle,nil,nil,nil,37703,40000,false,tagRFID(165),tagRFID(232),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike18,seeking_leader,nil,nil,bike(5),38679,40000,true,tagRFID(196),tagRFID(196),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike13,following,nil,nil,bike(17),37567,40000,false,tagRFID(67),tagRFID(67),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike12,idle,nil,bike(7),nil,31618,40000,false,tagRFID(316),tagRFID(317),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike15,idle,nil,nil,nil,39427,40000,false,tagRFID(128),tagRFID(143),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike14,idle,nil,nil,nil,38735,40000,false,tagRFID(141),tagRFID(146),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike9,idle,nil,nil,nil,39576,40000,false,tagRFID(191),tagRFID(272),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike8,idle,nil,nil,nil,36885,40000,false,tagRFID(80),tagRFID(207),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike11,idle,nil,nil,nil,31090,40000,false,tagRFID(97),tagRFID(96),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike10,idle,nil,nil,nil,35975,40000,false,tagRFID(172),tagRFID(170),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike5,awaiting_follower,nil,bike(18),nil,31733,40000,false,tagRFID(216),tagRFID(109),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike4,idle,nil,nil,nil,32543,40000,false,tagRFID(126),tagRFID(250),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike7,following,nil,nil,bike(12),37937,40000,false,tagRFID(316),tagRFID(315),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike6,idle,nil,nil,nil,32809,40000,false,tagRFID(270),tagRFID(189),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike1,idle,nil,nil,nil,39435,40000,false,tagRFID(107),tagRFID(180),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike0,idle,nil,nil,nil,31184,40000,false,tagRFID(83),tagRFID(158),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike3,idle,nil,nil,nil,33025,40000,false,tagRFID(91),tagRFID(229),0.0,0.0,0.0
4,2021-11-04 15:49:30,140.0,bike2,idle,nil,nil,nil,34797,40000,false,tagRFID(175),tagRFID(192),0.0,0.0,0.0
5,2021-11-04 15:49:30,175.0,bike17,idle,nil,bike(13),nil,32217,40000,false,tagRFID(66),tagRFID(86),0.0,0.0,0.0
5,2021-11-04 15:49:30,175.0,bike16,idle,nil,nil,nil,37912,40000,false,tagRFID(52),tagRFID(28),0.0,0.0,0.0
5,2021-11-04 15:49:30,175.0,bike19,idle,nil,nil,nil,37654,40000,false,tagRFID(232),tagRFID(164),0.0,0.0,0.0
5,2021-11-04 15:49:30,175.0,bike18,seeking_leader,nil,nil,bike(5),38601,40000,true,tagRFID(195),tagRFID(195),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike13,following,nil,nil,bike(17),37440,40000,false,tagRFID(67),tagRFID(67),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike12,idle,nil,bike(7),nil,31647,40000,false,tagRFID(317),tagRFID(153),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike15,idle,nil,nil,nil,39379,40000,false,tagRFID(143),tagRFID(128),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike14,idle,nil,nil,nil,38686,40000,false,tagRFID(146),tagRFID(141),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike9,idle,nil,nil,nil,39527,40000,false,tagRFID(191),tagRFID(272),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike8,idle,nil,nil,nil,36836,40000,false,tagRFID(80),tagRFID(207),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike11,idle,nil,nil,nil,31041,40000,false,tagRFID(96),tagRFID(97),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike10,idle,nil,nil,nil,35926,40000,false,tagRFID(170),tagRFID(172),0.0,0.0,0.0
5,2021-11-04 15:49:31,175.0,bike5,awaiting_follower,nil,bike(18),nil,31733,40000,false,tagRFID(216),tagRFID(109),0.0,0.0,0.0
