evaporation,exploitationRate,WanderingSpeed,avg_wait
0.3,0.92,1.3888888888888888,1.760959470636891
0.3,0.92,1.3888888888888888,1.760959470636891
0.3,0.92,1.3888888888888888,1.760959470636891
0.25,0.92,1.3888888888888888,1.6834983498349823
0.25,0.92,1.3888888888888888,1.6834983498349823
0.25,0.92,1.3888888888888888,1.6834983498349823
0.3,0.95,1.3888888888888888,1.7771144278606947
0.3,0.95,1.3888888888888888,1.7771144278606947
0.3,0.95,1.3888888888888888,1.7771144278606947
0.3,0.92,0.8333333333333333,1.839484621778885
0.3,0.92,0.8333333333333333,1.839484621778885
0.3,0.92,0.8333333333333333,1.839484621778885
