Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-08-28 19:49:32,0.0,bike34,idle,nil,nil,nil,97593.64408808482,false,tagRFID(242),tagRFID(243),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike35,idle,nil,nil,nil,94186.65593686528,false,tagRFID(261),tagRFID(227),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike36,idle,nil,nil,nil,82935.93861109053,false,tagRFID(271),tagRFID(282),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike37,idle,nil,nil,nil,77059.42101619313,false,tagRFID(206),tagRFID(169),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike38,idle,nil,nil,nil,83250.0350119174,false,tagRFID(301),tagRFID(121),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike39,idle,nil,nil,nil,95174.9778682867,false,tagRFID(10),tagRFID(9),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike40,idle,nil,nil,nil,96149.81841481307,false,tagRFID(136),tagRFID(133),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike25,idle,nil,nil,nil,98535.64277422626,false,tagRFID(7),tagRFID(5),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike26,idle,nil,nil,nil,92733.80175888975,false,tagRFID(133),tagRFID(136),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike27,idle,nil,bike(31),nil,78474.44513755421,false,tagRFID(293),tagRFID(292),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike28,idle,nil,nil,nil,95190.80166670703,false,tagRFID(175),tagRFID(174),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike29,idle,nil,nil,nil,85980.24158235737,false,tagRFID(22),tagRFID(21),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike30,idle,nil,nil,nil,96768.11291393216,false,tagRFID(300),tagRFID(198),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike31,seeking_leader,nil,nil,bike(27),99050.44216081039,false,tagRFID(289),tagRFID(294),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike32,idle,nil,nil,nil,81290.73901590804,false,tagRFID(157),tagRFID(139),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike81,idle,nil,bike(99),nil,75965.17414749018,false,tagRFID(88),tagRFID(203),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike82,seeking_leader,nil,nil,bike(4),96692.04261759427,false,tagRFID(14),tagRFID(18),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike83,idle,nil,nil,nil,75016.50516602464,false,tagRFID(132),tagRFID(144),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike84,idle,nil,nil,nil,78545.25805444179,false,tagRFID(315),tagRFID(316),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike85,idle,nil,nil,nil,86549.34021871828,false,tagRFID(221),tagRFID(25),0.0,0.0,0.0
