Cycle,Time (real),Time (simulation),Agent
0,2021-08-28 19:49:31,0.0,tagRFID23,tagRFID(14)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID24,tagRFID(15)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID21,tagRFID(22)::0.0,tagRFID(19)::0.0,tagRFID(107)::0.0,tagRFID(15)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID22,tagRFID(21)::0.0,tagRFID(180)::0.0,tagRFID(13)::0.0,tagRFID(116)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID19,tagRFID(108)::0.0,tagRFID(21)::0.0,tagRFID(16)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID20,tagRFID(17)::0.0,tagRFID(116)::0.0,tagRFID(13)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID17,tagRFID(50)::0.0,tagRFID(20)::0.0,tagRFID(18)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID18,tagRFID(17)::0.0,tagRFID(35)::0.0,tagRFID(14)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID31,tagRFID(264)::0.0,tagRFID(30)::0.0,tagRFID(84)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID32,tagRFID(241)::0.0,tagRFID(242)::0.0,tagRFID(30)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID29,tagRFID(30)::0.0,tagRFID(237)::0.0,tagRFID(241)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID30,tagRFID(29)::0.0,tagRFID(31)::0.0,tagRFID(32)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID27,tagRFID(28)::0.0,tagRFID(213)::0.0,tagRFID(25)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID28,tagRFID(27)::0.0,tagRFID(51)::0.0,tagRFID(52)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID25,tagRFID(26)::0.0,tagRFID(221)::0.0,tagRFID(27)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID26,tagRFID(25)::0.0,tagRFID(64)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID39,tagRFID(38)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID40,tagRFID(80)::0.0,tagRFID(42)::0.0,tagRFID(41)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID37,tagRFID(310)::0.0,tagRFID(36)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID38,tagRFID(208)::0.0,tagRFID(36)::0.0,tagRFID(39)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID35,tagRFID(34)::0.0,tagRFID(18)::0.0,tagRFID(9)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID36,tagRFID(38)::0.0,tagRFID(37)::0.0,tagRFID(2)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID33,tagRFID(34)::0.0,tagRFID(10)::0.0,tagRFID(12)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID34,tagRFID(33)::0.0,tagRFID(35)::0.0,tagRFID(11)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID47,tagRFID(46)::0.0
0,2021-08-28 19:49:31,0.0,tagRFID48,tagRFID(6)::0.0,tagRFID(49)::0.0
