Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-08-31 19:07:37,0.0,bike120,idle,nil,nil,nil,85624.74571248733,false,tagRFID(257),tagRFID(258),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike119,idle,nil,nil,nil,92023.22082214631,false,tagRFID(52),tagRFID(203),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike118,idle,nil,nil,nil,86736.10959285748,false,tagRFID(137),tagRFID(135),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike117,idle,nil,nil,nil,98520.30422609413,false,tagRFID(91),tagRFID(73),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike116,idle,nil,nil,nil,98649.49644474426,false,tagRFID(134),tagRFID(233),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike115,idle,nil,nil,nil,91873.49381860142,false,tagRFID(40),tagRFID(80),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike114,idle,nil,nil,nil,92755.65389428579,false,tagRFID(84),tagRFID(31),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike113,idle,nil,nil,nil,80568.39635480766,false,tagRFID(295),tagRFID(293),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike128,idle,nil,nil,nil,91312.78355324408,false,tagRFID(105),tagRFID(106),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike127,idle,nil,nil,nil,77514.66216659918,false,tagRFID(105),tagRFID(124),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike126,idle,nil,nil,nil,75866.73481416499,false,tagRFID(94),tagRFID(256),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike125,idle,nil,nil,nil,77563.23013959022,false,tagRFID(140),tagRFID(137),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike124,idle,nil,nil,nil,78091.51844424327,false,tagRFID(128),tagRFID(141),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike123,idle,nil,nil,nil,90616.08875290613,false,tagRFID(78),tagRFID(54),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike122,idle,nil,nil,nil,75257.63046385504,false,tagRFID(165),tagRFID(147),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike121,idle,nil,nil,nil,94093.92950925669,false,tagRFID(13),tagRFID(14),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike104,seeking_leader,nil,nil,bike(61),99376.23472997297,false,tagRFID(185),tagRFID(215),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike103,idle,nil,nil,nil,97343.98142763373,false,tagRFID(249),tagRFID(273),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike102,idle,nil,nil,nil,79383.16451555332,false,tagRFID(278),tagRFID(276),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike101,idle,nil,nil,nil,81540.65755453159,false,tagRFID(67),tagRFID(78),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike100,idle,nil,nil,nil,94603.65934579022,false,tagRFID(151),tagRFID(143),0.0,0.0,0.0
0,2021-08-31 19:07:37,0.0,bike99,idle,nil,nil,nil,82172.1850844218,false,tagRFID(200),tagRFID(72),0.0,0.0,0.0
