'Question2',self.energyCost(distance:distance)
Question2,150.0
Question2,149.99999999999997
Question2,150.0
Question2,147.2584191767118
Question2,41.749679766673765
Question2,150.0
Question2,150.0
Question2,141.56418391753257
Question2,147.20768932582047
Question2,149.99999999999997
Question2,149.99999999999994
Question2,150.00000000000003
Question2,149.9999999999999
Question2,42.81201397927452
Question2,149.99999999999997
Question2,149.99999999999994
Question2,149.99999999999994
Question2,102.42935703329782
Question2,150.00000000000009
Question2,149.99999999999997
Question2,150.00000000000006
Question2,149.99999999999994
Question2,149.99999999999997
Question2,150.0000000000001
Question2,150.0
Question2,149.99999999999994
Question2,149.99999999999997
Question2,150.00000000000006
Question2,149.99999999999994
Question2,126.12346210418355
Question2,150.0
Question2,150.0
Question2,149.99999999999994
Question2,139.21288427212622
Question2,150.0
Question2,149.99999999999991
Question2,150.00000000000009
Question2,150.0
Question2,150.0000000000001
Question2,150.0
Question2,121.45922671202474
Question2,150.00000000000003
Question2,149.99999999999994
Question2,149.99999999999997
Question2,105.2428545345309
Question2,150.0
Question2,150.0
Question2,149.99999999999997
Question2,80.39355786393675
Question2,150.0
Question2,150.00000000000009
Question2,150.0
Question2,150.00000000000006
Question2,149.9999999999999
Question2,138.87434102037378
Question2,150.0
Question2,150.0
Question2,58.98216231281366
Question2,69.60644213606294
Question2,150.00000000000003
Question2,150.0000000000001
Question2,150.0
Question2,150.0000000000001
Question2,149.99999999999991
Question2,141.1044615572975
Question2,150.00000000000003
Question2,149.99999999999997
Question2,150.00000000000006
Question2,150.00000000000003
Question2,150.0
Question2,149.9999999999999
Question2,150.0
Question2,150.00000000000003
Question2,150.0
Question2,120.00385509609427
Question2,150.0
Question2,149.99999999999994
Question2,150.0
Question2,150.0
Question2,128.49271310584905
Question2,149.99999999999997
Question2,150.0
Question2,149.99999999999997
Question2,149.99999999999986
Question2,150.0
Question2,149.99999999999994
Question2,150.00000000000003
Question2,149.99999999999991
Question2,150.00000000000006
Question2,150.0
Question2,150.00000000000006
Question2,148.53910362315048
Question2,149.99999999999994
Question2,150.0
Question2,150.00000000000003
Question2,150.00000000000003
Question2,149.9999999999999
Question2,147.87137233532343
Question2,150.00000000000009
Question2,133.2301718259286
Question2,149.99999999999994
Question2,149.9999999999999
Question2,150.00000000000003
Question2,150.00000000000003
Question2,150.0
Question2,150.0
Question2,149.99998930503486
Question2,150.0
Question2,150.00000000000003
Question2,150.0
Question2,150.0
Question2,149.9999999999999
Question2,150.00000000000009
Question2,98.36235760409146
Question2,150.0
Question2,149.99993519813256
Question2,150.0000000000001
Question2,150.00000000000006
Question2,150.0000000000001
Question2,149.09765551592398
Question2,150.0
Question2,150.0000000000001
Question2,150.0000000000001
Question2,149.99999999999997
Question2,150.0
Question2,149.99999999999997
Question2,150.0000000000001
Question2,101.93656950037824
Question2,57.05096679766307
Question2,150.00000000000003
Question2,149.99999999999997
Question2,150.0000000000001
Question2,150.00000000000009
Question2,150.00000000000009
Question2,150.00000000000003
Question2,149.99999999999994
Question2,150.0000000000001
Question2,150.00000000000009
Question2,138.5259686346987
Question2,150.00000000000003
Question2,150.00000000000003
Question2,150.0000000000001
Question2,149.99999999999994
Question2,150.0
Question2,88.59914155311229
Question2,150.0
Question2,150.0000000000001
Question2,149.99999999999994
Question2,149.9999999999999
Question2,149.99999999999997
Question2,150.0
Question2,150.0
Question2,149.99999999999994
Question2,149.99999999999994
Question2,131.54874645774163
Question2,150.00000000000003
Question2,150.0
Question2,74.97919124645304
Question2,79.24191892247512
Question2,140.22044488262878
Question2,150.00000000000003
Question2,149.99999999999994
Question2,150.00000000000003
Question2,150.00000000000009
Question2,149.99999999999997
Question2,150.00000000000006
Question2,150.0
Question2,149.99999999999986
Question2,150.0
Question2,149.99999999999997
Question2,149.99999999999994
Question2,150.0
Question2,138.2188684065385
Question2,150.0
Question2,150.0
Question2,150.0
Question2,111.42198603385857
Question2,149.99999999999997
Question2,149.99999999999994
Question2,150.00000000000006
Question2,150.0000000000001
Question2,149.99999999999997
Question2,149.99999999999997
Question2,150.0
Question2,150.0
