string(main),activity,otherInvolved,cycleStartActivity * step,cycle * step,(cycle * step) - (cycleStartActivity * step),distance_to(locationStartActivity,main.location),batteryStartActivity,(main.batteryLife / maxBatteryLife) * 100
bike(43),seekingLeader,bike(86),60.0,120.0,60.0,78.96244416279728,98.36928058425426,98.21135544932552
bike(86),awaitingFollower,bike(43),60.0,120.0,60.0,0.0,78.34372131832326,78.34372131832326
bike(97),seekingLeader,bike(39),60.0,120.0,60.0,59.863796977631026,98.98543030564296,98.86562176721833
bike(39),awaitingFollower,bike(97),120.0,180.0,60.0,0.0,75.99748806203117,75.99748806203117
bike(43),following,bike(86),180.0,660.0,480.0,0.0,98.21135544932552,88.2775383838244
bike(97),following,bike(39),180.0,720.0,540.0,0.0,98.86562176721833,87.43155491462475
bike(90),seekingLeader,bike(97),2580.0,2700.0,120.0,124.67250515547951,99.94514997061061,99.59048303402822
bike(97),awaitingFollower,bike(90),2580.0,2700.0,120.0,0.0,79.40591060166233,79.40591060166233
bike(90),following,bike(97),2760.0,3240.0,480.0,414.1399171866086,99.59048303402822,87.39819681784529
bike(118),seekingLeader,bike(43),3900.0,4020.0,120.0,153.93963334770737,93.33351293923084,92.91430328956784
bike(43),awaitingFollower,bike(118),3960.0,4080.0,120.0,0.0,72.83179891622021,72.83179891622021
bike(118),following,bike(43),4080.0,4560.0,480.0,315.6753039693216,92.91430328956784,80.8539854202534
bike(19),seekingLeader,bike(43),5100.0,5160.0,60.0,78.80209593468,98.92549233369171,98.76788624542834
bike(43),awaitingFollower,bike(19),5100.0,5160.0,60.0,0.0,78.59915325460749,78.59915325460749
bike(18),seekingLeader,bike(97),5400.0,5520.0,120.0,199.1193654632369,98.10505921536591,97.61885902256999
bike(97),awaitingFollower,bike(18),5400.0,5520.0,120.0,0.0,77.55107522643878,77.55107522643878
bike(64),seekingLeader,bike(90),5460.0,5580.0,120.0,158.05982527339634,99.31196380435459,98.93415915074677
bike(90),awaitingFollower,bike(64),5460.0,5580.0,120.0,0.0,77.7809755785795,77.7809755785795
bike(19),following,bike(43),5220.0,5700.0,480.0,151.2513064079753,98.76788624542834,86.71983052716746
bike(110),seekingLeader,bike(118),5640.0,5820.0,180.0,207.98394496651707,97.15502920126058,96.52775152738664
bike(118),awaitingFollower,bike(110),5640.0,5820.0,180.0,0.0,76.19849513606285,76.19849513606285
bike(18),following,bike(97),5580.0,6060.0,480.0,6.834626234022269,97.61885902256999,85.62471573642647
bike(64),following,bike(90),5640.0,6120.0,480.0,139.37746965234592,98.93415915074677,86.50455379022212
bike(110),following,bike(118),5880.0,6360.0,480.0,151.97611320022403,96.52775152738664,84.38446605048875
bike(27),seekingLeader,bike(19),7800.0,7860.0,60.0,96.18478526949458,97.78927652699645,97.51809230977918
bike(31),seekingLeader,bike(43),7740.0,7860.0,120.0,144.43673189493285,97.78738697369003,97.40704672608499
bike(43),awaitingFollower,bike(31),7740.0,7860.0,120.0,0.0,77.12753959135198,77.12753959135198
bike(19),awaitingFollower,bike(27),7860.0,7920.0,60.0,0.0,77.15578010405555,77.15578010405555
bike(73),seekingLeader,bike(110),7980.0,8100.0,120.0,100.52516244636166,97.57048909425133,96.97048909425133
bike(110),awaitingFollower,bike(73),7980.0,8100.0,120.0,0.0,77.05405605632811,77.05405605632811
bike(68),seekingLeader,bike(118),8040.0,8160.0,120.0,162.79146740200864,96.61485894061022,96.28927413848793
bike(118),awaitingFollower,bike(68),8040.0,8160.0,120.0,0.0,76.2194802643015,76.2194802643015
bike(27),following,bike(19),7920.0,8400.0,480.0,157.36134116761556,97.51809230977918,85.23721239824921
bike(31),following,bike(43),7920.0,8400.0,480.0,833.0544415057365,97.40704672608499,85.34664065436883
bike(48),seekingLeader,bike(64),8280.0,8400.0,120.0,191.4047312581417,97.99941736508396,97.46392085705565
bike(64),awaitingFollower,bike(48),8280.0,8400.0,120.0,0.0,77.29349752855013,77.29349752855013
bike(107),seekingLeader,bike(18),8280.0,8400.0,120.0,169.34524577187432,96.6735288544701,96.22140189180347
bike(18),awaitingFollower,bike(107),8340.0,8460.0,120.0,0.0,75.80443827836763,75.80443827836763
bike(73),following,bike(110),8160.0,8640.0,480.0,100.97662701596335,96.97048909425133,84.94855560814136
bike(68),following,bike(118),8220.0,8700.0,480.0,335.71584771965485,96.28927413848793,84.24265743181377
bike(48),following,bike(64),8460.0,8940.0,480.0,189.49265680916247,97.46392085705565,85.43400337445696
bike(107),following,bike(18),8460.0,8940.0,480.0,237.64870970195884,96.22140189180347,84.66894676273785
bike(83),seekingLeader,bike(97),9060.0,9120.0,60.0,81.45594068992726,93.32210637741986,93.15901382763961
bike(97),awaitingFollower,bike(83),9060.0,9120.0,60.0,0.0,72.74319989926622,72.74319989926622
bike(34),seekingLeader,bike(90),9300.0,9360.0,60.0,106.5285356770854,96.29217710786546,95.99217710786546
bike(90),awaitingFollower,bike(34),9300.0,9360.0,60.0,0.0,71.66520329547296,71.66520329547296
bike(83),following,bike(97),9180.0,9660.0,480.0,306.81588139541816,93.15901382763961,80.99222816371272
bike(34),following,bike(90),9420.0,10020.0,600.0,418.6415750103978,95.99217710786546,81.45638124349387
bike(0),seekingLeader,bike(73),10260.0,10320.0,60.0,149.99972634397582,98.68380564596096,98.38380564596096
bike(73),awaitingFollower,bike(0),10260.0,10320.0,60.0,0.0,77.52756104522179,77.52756104522179
bike(0),following,bike(73),10380.0,10860.0,480.0,149.87386528244372,98.38380564596096,85.88983708022127
