Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-11-04 15:50:25,0.0,bike4,idle,nil,nil,nil,35980,40000,false,tagRFID(72),tagRFID(218),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike3,idle,nil,bike(26),nil,31166,40000,false,tagRFID(282),tagRFID(271),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike6,seeking_leader,nil,nil,bike(36),35628,40000,false,tagRFID(264),tagRFID(31),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike5,idle,nil,nil,nil,36084,40000,false,tagRFID(283),tagRFID(274),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike0,idle,nil,nil,nil,33284,40000,false,tagRFID(291),tagRFID(303),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike2,seeking_leader,nil,nil,bike(8),38400,40000,false,tagRFID(309),tagRFID(308),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike1,idle,nil,bike(18),nil,29987,40000,false,tagRFID(136),tagRFID(232),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike12,seeking_leader,nil,nil,bike(25),38228,40000,false,tagRFID(315),tagRFID(317),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike11,seeking_leader,nil,nil,bike(31),38158,40000,false,tagRFID(59),tagRFID(60),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike14,idle,nil,nil,nil,37489,40000,false,tagRFID(28),tagRFID(51),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike13,idle,nil,nil,nil,37853,40000,false,tagRFID(116),tagRFID(20),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike8,awaiting_follower,nil,bike(2),nil,30386,40000,false,tagRFID(46),tagRFID(208),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike7,idle,nil,nil,nil,36702,40000,false,tagRFID(100),tagRFID(101),0.0,0.0,0.0
0,2021-11-04 15:50:25,0.0,bike10,seeking_leader,nil,nil,bike(27),39462,40000,false,tagRFID(22),tagRFID(180),0.0,0.0,0.0
