Cycle,Time (real),Time (simulation),Agent,Start Time,End Time,Duration,Start Battery,End Battery
37,2021-11-04 15:50:54,1295.0,bike6,210.0,1295.0,1085.0,30459,31403
38,2021-11-04 15:50:55,1330.0,bike28,175.0,1330.0,1155.0,33311,34288
39,2021-11-04 15:50:56,1365.0,bike18,210.0,1365.0,1155.0,29938,30899
40,2021-11-04 15:50:56,1400.0,bike12,245.0,1400.0,1155.0,32620,33633
42,2021-11-04 15:50:58,1470.0,bike24,245.0,1470.0,1225.0,33598,34637
45,2021-11-04 15:51:00,1575.0,bike11,245.0,1575.0,1330.0,31742,32919
46,2021-11-04 15:51:00,1610.0,bike26,175.0,1610.0,1435.0,31117,32371
47,2021-11-04 15:51:01,1645.0,bike10,105.0,1645.0,1540.0,32503,33803
47,2021-11-04 15:51:01,1645.0,bike23,175.0,1645.0,1470.0,30499,31756
49,2021-11-04 15:51:02,1715.0,bike9,210.0,1715.0,1505.0,30009,31285
53,2021-11-04 15:51:05,1855.0,bike35,420.0,1855.0,1435.0,30186,31403
55,2021-11-04 15:51:06,1925.0,bike2,175.0,1925.0,1750.0,30386,31880
55,2021-11-04 15:51:06,1925.0,bike19,70.0,1925.0,1855.0,30927,32553
61,2021-11-04 15:51:10,2135.0,bike14,735.0,2135.0,1400.0,30216,31405
72,2021-11-04 15:51:18,2520.0,bike40,1085.0,2520.0,1435.0,32019,33253
78,2021-11-04 15:51:22,2730.0,bike49,1540.0,2730.0,1190.0,31208,32257
80,2021-11-04 15:51:24,2800.0,bike30,1540.0,2800.0,1260.0,30850,31958
81,2021-11-04 15:51:25,2835.0,bike13,1785.0,2835.0,1050.0,30607,31532
92,2021-11-04 15:51:32,3220.0,bike42,2100.0,3220.0,1120.0,30945,31875
