Cycle,Time (real),Time (simulation),Agent,Tag [lat],Tag [long],AveragePheromones
0,2021-11-02 19:55:42,0.0,tagRFID123,950.3042926061481,55.12623825328836,0.0
0,2021-11-02 19:55:42,0.0,tagRFID124,1427.731775461074,72.94183388652347,0.0
0,2021-11-02 19:55:42,0.0,tagRFID125,1401.0099060167192,55.12623825612704,0.0
0,2021-11-02 19:55:42,0.0,tagRFID126,1290.6568453120385,18.608077218510534,0.0
0,2021-11-02 19:55:42,0.0,tagRFID119,1040.266192532013,124.00812801685215,0.0
0,2021-11-02 19:55:42,0.0,tagRFID120,1479.8862077698634,1205.5443230874937,0.0
0,2021-11-02 19:55:42,0.0,tagRFID121,1406.6487172941997,1246.5156210343248,0.0
0,2021-11-02 19:55:42,0.0,tagRFID122,958.5186690355611,59.579375159664366,0.0
0,2021-11-02 19:55:42,0.0,tagRFID115,926.2524765041737,149.24561849390534,0.0
0,2021-11-02 19:55:42,0.0,tagRFID116,878.0543561086766,141.32994666505402,0.0
0,2021-11-02 19:55:42,0.0,tagRFID117,1001.8674117337121,79.67183134412822,0.0
0,2021-11-02 19:55:42,0.0,tagRFID118,1045.5118110211097,89.1724663477884,0.0
0,2021-11-02 19:55:42,0.0,tagRFID111,1370.029972056918,380.8331216681452,0.0
0,2021-11-02 19:55:42,0.0,tagRFID112,1233.8511557034637,358.86309372735695,0.0
0,2021-11-02 19:55:42,0.0,tagRFID113,1123.6962153912343,182.4993650017106,0.0
0,2021-11-02 19:55:42,0.0,tagRFID114,987.7124714235646,159.63931927906435,0.0
0,2021-11-02 19:55:42,0.0,tagRFID107,900.3230886470814,302.8468376976041,0.0
0,2021-11-02 19:55:42,0.0,tagRFID108,887.7561595123417,378.26060452596664,0.0
0,2021-11-02 19:55:42,0.0,tagRFID109,946.4424688827008,1368.9418338829637,0.0
0,2021-11-02 19:55:42,0.0,tagRFID110,1382.1061722102395,305.9131318290739,0.0
0,2021-11-02 19:55:42,0.0,tagRFID103,1485.9243078466484,325.11557023437655,0.0
0,2021-11-02 19:55:42,0.0,tagRFID104,1635.2674625324526,269.69062738368467,0.0
0,2021-11-02 19:55:42,0.0,tagRFID105,1508.7874015745774,127.17500634993888,0.0
0,2021-11-02 19:55:42,0.0,tagRFID106,1577.3705867385022,22.070612142547105,0.0
0,2021-11-02 19:55:42,0.0,tagRFID99,121.63373126868599,1187.9268478555805,0.0
0,2021-11-02 19:55:42,0.0,tagRFID100,1510.4699009384817,167.65557531265512,0.0
0,2021-11-02 19:55:42,0.0,tagRFID101,1408.133096264837,150.72999745843933,0.0
0,2021-11-02 19:55:42,0.0,tagRFID102,1498.3937007846282,245.5443230934265,0.0
0,2021-11-02 19:55:42,0.0,tagRFID95,235.8455676897572,1265.7180594367887,0.0
0,2021-11-02 19:55:42,0.0,tagRFID96,106.78994158048212,1344.2011684016554,0.0
0,2021-11-02 19:55:42,0.0,tagRFID97,69.08305816410086,1366.7655575322165,0.0
0,2021-11-02 19:55:42,0.0,tagRFID98,128.36372872827783,1113.8999237992855,0.0
0,2021-11-02 19:55:42,0.0,tagRFID155,1661.2974345940004,819.0693421408075,0.0
0,2021-11-02 19:55:42,0.0,tagRFID156,1610.0330200668561,422.9961899935949,0.0
0,2021-11-02 19:55:42,0.0,tagRFID157,1046.9961899910727,636.9662179345024,0.0
0,2021-11-02 19:55:42,0.0,tagRFID158,911.6068072134951,614.697485397588,0.0
0,2021-11-02 19:55:42,0.0,tagRFID151,1584.9936499862638,572.9337058670427,0.0
