Cycle,Time (real),Time (simulation),Agent,Distance Traveled,Num Intersections
0,2021-10-28 23:30:01,0.0,bike0,48.65,2
0,2021-10-28 23:30:01,0.0,bike1,48.64999999999998,1
0,2021-10-28 23:30:01,0.0,bike2,48.64999999999998,1
0,2021-10-28 23:30:01,0.0,bike3,48.65000000000003,1
0,2021-10-28 23:30:01,0.0,bike4,48.65,2
0,2021-10-28 23:30:01,0.0,bike5,48.6500000000001,1
0,2021-10-28 23:30:01,0.0,bike6,48.65000000000002,1
0,2021-10-28 23:30:01,0.0,bike7,48.64999999999999,1
0,2021-10-28 23:30:01,0.0,bike8,48.65,1
0,2021-10-28 23:30:01,0.0,bike9,48.65000000000003,1
0,2021-10-28 23:30:01,0.0,bike10,48.64999999999991,1
0,2021-10-28 23:30:01,0.0,bike11,48.650000000000006,1
0,2021-10-28 23:30:01,0.0,bike12,48.64999999999994,1
0,2021-10-28 23:30:01,0.0,bike13,48.64999999999997,2
0,2021-10-28 23:30:01,0.0,bike14,48.650000000000006,1
0,2021-10-28 23:30:01,0.0,bike15,48.64999999999998,1
0,2021-10-28 23:30:01,0.0,bike16,48.64999999999995,2
0,2021-10-28 23:30:01,0.0,bike17,48.64999999999993,2
0,2021-10-28 23:30:01,0.0,bike18,48.650000000000006,1
0,2021-10-28 23:30:01,0.0,bike19,48.64999999999999,1
0,2021-10-28 23:30:01,0.0,bike20,48.650000000000006,1
0,2021-10-28 23:30:01,0.0,bike21,48.64999999999998,1
0,2021-10-28 23:30:01,0.0,bike22,48.65000000000007,1
0,2021-10-28 23:30:01,0.0,bike23,48.65000000000002,1
0,2021-10-28 23:30:01,0.0,bike24,48.65000000000008,2
0,2021-10-28 23:30:01,0.0,bike25,48.65000000000001,1
0,2021-10-28 23:30:01,0.0,bike26,48.64999999999999,1
0,2021-10-28 23:30:01,0.0,bike27,46.89445101766313,3
0,2021-10-28 23:30:01,0.0,bike28,48.64999999999998,1
0,2021-10-28 23:30:01,0.0,bike29,48.65,1
0,2021-10-28 23:30:01,0.0,bike30,48.65000000000002,1
0,2021-10-28 23:30:01,0.0,bike31,48.65000000000003,1
0,2021-10-28 23:30:01,0.0,bike32,48.65,2
0,2021-10-28 23:30:01,0.0,bike33,48.650000000000084,1
0,2021-10-28 23:30:01,0.0,bike34,48.64999999999999,1
0,2021-10-28 23:30:01,0.0,bike35,48.65,1
0,2021-10-28 23:30:01,0.0,bike36,48.65000000000001,1
0,2021-10-28 23:30:01,0.0,bike37,48.64999999999993,2
0,2021-10-28 23:30:01,0.0,bike38,48.65000000000013,1
0,2021-10-28 23:30:01,0.0,bike39,48.649999999999984,1
0,2021-10-28 23:30:01,0.0,bike40,48.650000000000006,2
0,2021-10-28 23:30:01,0.0,bike41,48.64999999999998,1
0,2021-10-28 23:30:01,0.0,bike42,48.64999999999998,2
0,2021-10-28 23:30:01,0.0,bike43,48.64999999999993,2
0,2021-10-28 23:30:01,0.0,bike44,48.65000000000003,1
0,2021-10-28 23:30:01,0.0,bike45,48.65000000000006,1
0,2021-10-28 23:30:01,0.0,bike46,48.65000000000002,3
0,2021-10-28 23:30:01,0.0,bike47,48.65000000000005,1
0,2021-10-28 23:30:01,0.0,bike48,48.64999999999994,1
0,2021-10-28 23:30:01,0.0,bike49,48.64999999999998,1
1,2021-10-28 23:30:02,35.0,bike0,48.650000000000006,0
1,2021-10-28 23:30:02,35.0,bike1,48.65000000000008,1
1,2021-10-28 23:30:02,35.0,bike2,48.64999999999998,0
1,2021-10-28 23:30:02,35.0,bike3,48.65000000000003,0
1,2021-10-28 23:30:02,35.0,bike4,48.65000000000001,1
1,2021-10-28 23:30:02,35.0,bike5,48.64999999999996,0
1,2021-10-28 23:30:02,35.0,bike7,48.64999999999999,1
1,2021-10-28 23:30:02,35.0,bike9,48.650000000000084,1
1,2021-10-28 23:30:02,35.0,bike10,48.64999999999993,0
1,2021-10-28 23:30:02,35.0,bike11,48.65,1
1,2021-10-28 23:30:02,35.0,bike12,48.64999999999994,1
1,2021-10-28 23:30:02,35.0,bike13,48.65000000000004,1
1,2021-10-28 23:30:02,35.0,bike14,48.65,1
1,2021-10-28 23:30:02,35.0,bike15,48.65000000000003,2
1,2021-10-28 23:30:02,35.0,bike18,48.650000000000006,1
1,2021-10-28 23:30:02,35.0,bike19,48.64999999999996,0
1,2021-10-28 23:30:02,35.0,bike20,48.64999999999999,1
1,2021-10-28 23:30:02,35.0,bike22,48.65000000000007,0
1,2021-10-28 23:30:02,35.0,bike23,48.650000000000034,1
1,2021-10-28 23:30:02,35.0,bike24,48.65000000000002,1
1,2021-10-28 23:30:02,35.0,bike25,48.64999999999999,1
1,2021-10-28 23:30:02,35.0,bike27,48.65000000000001,0
1,2021-10-28 23:30:02,35.0,bike28,48.64999999999998,0
1,2021-10-28 23:30:02,35.0,bike30,48.64999999999999,1
1,2021-10-28 23:30:02,35.0,bike31,48.65000000000003,0
1,2021-10-28 23:30:02,35.0,bike32,48.64999999999993,1
1,2021-10-28 23:30:02,35.0,bike35,48.65,0
1,2021-10-28 23:30:02,35.0,bike36,48.65000000000001,0
1,2021-10-28 23:30:02,35.0,bike37,48.64999999999988,2
1,2021-10-28 23:30:02,35.0,bike39,48.64999999999999,1
1,2021-10-28 23:30:02,35.0,bike40,48.650000000000034,1
1,2021-10-28 23:30:02,35.0,bike41,48.64999999999999,1
1,2021-10-28 23:30:02,35.0,bike42,48.65,0
1,2021-10-28 23:30:02,35.0,bike45,48.65000000000006,1
1,2021-10-28 23:30:02,35.0,bike46,48.64999999999999,0
1,2021-10-28 23:30:02,35.0,bike49,48.649999999999935,1
2,2021-10-28 23:30:02,70.0,bike0,48.64999999999999,1
2,2021-10-28 23:30:02,70.0,bike1,48.65000000000007,0
2,2021-10-28 23:30:02,70.0,bike4,48.649999999999984,2
2,2021-10-28 23:30:02,70.0,bike5,48.64999999999998,1
2,2021-10-28 23:30:02,70.0,bike6,77.70000000000002,1
2,2021-10-28 23:30:02,70.0,bike7,48.650000000000006,0
2,2021-10-28 23:30:02,70.0,bike9,48.65000000000005,0
2,2021-10-28 23:30:02,70.0,bike10,48.64999999999991,1
2,2021-10-28 23:30:02,70.0,bike11,48.65,1
2,2021-10-28 23:30:02,70.0,bike13,48.65000000000003,0
2,2021-10-28 23:30:02,70.0,bike14,48.650000000000006,1
2,2021-10-28 23:30:02,70.0,bike15,48.64999999999999,0
2,2021-10-28 23:30:02,70.0,bike16,77.69999999999996,1
2,2021-10-28 23:30:02,70.0,bike19,48.64999999999999,1
2,2021-10-28 23:30:02,70.0,bike20,48.64999999999999,0
2,2021-10-28 23:30:02,70.0,bike21,77.70000000000003,1
2,2021-10-28 23:30:02,70.0,bike23,48.65,1
2,2021-10-28 23:30:02,70.0,bike24,48.64999999999999,1
2,2021-10-28 23:30:02,70.0,bike25,48.649999999999984,0
2,2021-10-28 23:30:02,70.0,bike27,48.65000000000001,1
2,2021-10-28 23:30:02,70.0,bike28,48.65000000000007,0
2,2021-10-28 23:30:02,70.0,bike29,77.70000000000002,0
2,2021-10-28 23:30:02,70.0,bike30,48.65000000000008,0
2,2021-10-28 23:30:02,70.0,bike31,48.65000000000001,0
2,2021-10-28 23:30:02,70.0,bike32,48.65000000000003,0
2,2021-10-28 23:30:02,70.0,bike34,48.65000000000005,1
2,2021-10-28 23:30:02,70.0,bike35,48.65,0
2,2021-10-28 23:30:02,70.0,bike36,48.65000000000001,0
2,2021-10-28 23:30:02,70.0,bike37,48.64999999999988,1
2,2021-10-28 23:30:02,70.0,bike38,77.70000000000005,0
2,2021-10-28 23:30:02,70.0,bike40,48.650000000000055,2
2,2021-10-28 23:30:02,70.0,bike41,48.650000000000006,0
2,2021-10-28 23:30:02,70.0,bike42,48.64999999999998,1
2,2021-10-28 23:30:02,70.0,bike43,48.649999999999906,0
2,2021-10-28 23:30:02,70.0,bike44,27.818821526069694,1
2,2021-10-28 23:30:02,70.0,bike45,48.65000000000005,1
2,2021-10-28 23:30:02,70.0,bike46,48.65000000000005,1
2,2021-10-28 23:30:02,70.0,bike47,77.70000000000002,1
2,2021-10-28 23:30:02,70.0,bike48,5.370106298138613,0
2,2021-10-28 23:30:02,70.0,bike49,48.65000000000009,0
3,2021-10-28 23:30:03,105.0,bike0,48.64999999999996,1
3,2021-10-28 23:30:03,105.0,bike1,48.65000000000007,0
3,2021-10-28 23:30:03,105.0,bike4,48.650000000000006,1
3,2021-10-28 23:30:03,105.0,bike5,48.64999999999993,0
3,2021-10-28 23:30:03,105.0,bike6,19.601003887612393,0
3,2021-10-28 23:30:03,105.0,bike7,48.649999999999984,1
3,2021-10-28 23:30:03,105.0,bike9,48.650000000000105,2
3,2021-10-28 23:30:03,105.0,bike10,48.64999999999989,0
3,2021-10-28 23:30:03,105.0,bike11,48.649999999999984,0
3,2021-10-28 23:30:03,105.0,bike13,48.65000000000003,0
3,2021-10-28 23:30:03,105.0,bike14,48.650000000000006,1
3,2021-10-28 23:30:03,105.0,bike15,48.64999999999999,1
3,2021-10-28 23:30:03,105.0,bike16,77.7,1
3,2021-10-28 23:30:03,105.0,bike19,48.64999999999999,0
3,2021-10-28 23:30:03,105.0,bike20,48.65000000000004,1
3,2021-10-28 23:30:03,105.0,bike21,77.69999999999997,1
3,2021-10-28 23:30:03,105.0,bike23,48.65000000000002,1
3,2021-10-28 23:30:03,105.0,bike24,48.65000000000001,0
3,2021-10-28 23:30:03,105.0,bike25,48.65000000000004,1
3,2021-10-28 23:30:03,105.0,bike27,48.64999999999999,0
3,2021-10-28 23:30:03,105.0,bike28,48.64999999999998,0
3,2021-10-28 23:30:03,105.0,bike29,77.6999999999999,1
3,2021-10-28 23:30:03,105.0,bike30,48.65000000000008,1
3,2021-10-28 23:30:03,105.0,bike31,48.64999999999996,1
3,2021-10-28 23:30:03,105.0,bike32,48.64999999999998,1
3,2021-10-28 23:30:03,105.0,bike34,48.65000000000007,0
3,2021-10-28 23:30:03,105.0,bike35,48.64999999999996,1
