Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-10-28 23:30:01,0.0,bike10,idle,nil,nil,nil,33301,40000,false,tagRFID(104),tagRFID(267),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike11,idle,nil,nil,nil,32794,40000,false,tagRFID(29),tagRFID(237),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike8,awaiting_follower,nil,bike(6),nil,31448,40000,false,tagRFID(20),tagRFID(13),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike9,idle,nil,nil,nil,35988,40000,false,tagRFID(295),tagRFID(293),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike6,seeking_leader,nil,nil,bike(8),38609,40000,false,tagRFID(20),tagRFID(116),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike7,idle,nil,nil,nil,37611,40000,false,tagRFID(48),tagRFID(6),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike4,idle,nil,nil,nil,34440,40000,false,tagRFID(46),tagRFID(44),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike5,idle,nil,nil,nil,34159,40000,false,tagRFID(239),tagRFID(248),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike18,idle,nil,bike(44),nil,33564,40000,false,tagRFID(108),tagRFID(161),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike19,idle,nil,nil,nil,30794,40000,false,tagRFID(172),tagRFID(211),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike16,seeking_leader,nil,nil,bike(33),36564,40000,false,tagRFID(125),tagRFID(124),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike17,seeking_leader,nil,nil,bike(43),38215,40000,false,tagRFID(271),tagRFID(282),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike14,idle,nil,nil,nil,33094,40000,false,tagRFID(29),tagRFID(237),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike15,idle,nil,nil,nil,34806,40000,false,tagRFID(263),tagRFID(242),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike12,idle,nil,bike(48),nil,32007,40000,false,tagRFID(142),tagRFID(257),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike13,idle,nil,nil,nil,33924,40000,false,tagRFID(192),tagRFID(191),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike2,idle,nil,bike(21),nil,30939,40000,false,tagRFID(268),tagRFID(160),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike3,idle,nil,bike(38),nil,30847,40000,false,tagRFID(277),tagRFID(312),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike0,idle,nil,nil,nil,32904,40000,false,tagRFID(59),tagRFID(60),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike1,idle,nil,nil,nil,34036,40000,false,tagRFID(98),tagRFID(99),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike42,idle,nil,nil,nil,35982,40000,false,tagRFID(134),tagRFID(233),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike43,awaiting_follower,nil,bike(17),nil,30575,40000,false,tagRFID(271),tagRFID(282),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike40,idle,nil,nil,nil,31082,40000,false,tagRFID(274),tagRFID(296),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike41,idle,nil,nil,nil,38573,40000,false,tagRFID(113),tagRFID(185),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike38,seeking_leader,nil,nil,bike(3),37857,40000,false,tagRFID(281),tagRFID(312),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike39,idle,nil,bike(47),nil,31084,40000,false,tagRFID(223),tagRFID(187),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike36,idle,nil,nil,nil,31270,40000,false,tagRFID(228),tagRFID(209),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike37,idle,nil,nil,nil,37152,40000,false,tagRFID(291),tagRFID(303),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike48,seeking_leader,nil,nil,bike(12),37124,40000,false,tagRFID(142),tagRFID(257),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike49,idle,nil,nil,nil,34967,40000,false,tagRFID(302),tagRFID(295),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike46,idle,nil,nil,nil,39113,40000,false,tagRFID(18),tagRFID(14),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike47,seeking_leader,nil,nil,bike(39),37192,40000,false,tagRFID(223),tagRFID(224),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike44,seeking_leader,nil,nil,bike(18),39244,40000,false,tagRFID(19),tagRFID(108),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike45,idle,nil,nil,nil,37500,40000,false,tagRFID(185),tagRFID(251),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike26,seeking_leader,nil,nil,bike(34),37869,40000,false,tagRFID(186),tagRFID(112),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike27,idle,nil,nil,nil,34686,40000,false,tagRFID(18),tagRFID(14),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike24,idle,nil,nil,nil,39624,40000,false,tagRFID(262),tagRFID(215),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike25,idle,nil,nil,nil,32401,40000,false,tagRFID(89),tagRFID(78),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike22,idle,nil,bike(29),nil,30026,40000,false,tagRFID(99),tagRFID(96),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike23,idle,nil,nil,nil,33816,40000,false,tagRFID(75),tagRFID(71),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike20,idle,nil,nil,nil,36438,40000,false,tagRFID(18),tagRFID(14),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike21,seeking_leader,nil,nil,bike(2),37832,40000,false,tagRFID(83),tagRFID(188),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike34,awaiting_follower,nil,bike(26),nil,31810,40000,false,tagRFID(186),tagRFID(112),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike35,idle,nil,nil,nil,32607,40000,false,tagRFID(190),tagRFID(155),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike32,idle,nil,nil,nil,33936,40000,false,tagRFID(244),tagRFID(124),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike33,awaiting_follower,nil,bike(16),nil,31458,40000,false,tagRFID(127),tagRFID(126),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike30,idle,nil,nil,nil,37224,40000,false,tagRFID(140),tagRFID(111),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike31,idle,nil,nil,nil,39347,40000,false,tagRFID(198),tagRFID(275),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike28,idle,nil,nil,nil,32034,40000,false,tagRFID(210),tagRFID(196),0.0,0.0,0.0
0,2021-10-28 23:30:01,0.0,bike29,seeking_leader,nil,nil,bike(22),36257,40000,false,tagRFID(205),tagRFID(98),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike10,idle,nil,nil,nil,33253,40000,false,tagRFID(104),tagRFID(267),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike11,idle,nil,nil,nil,32746,40000,false,tagRFID(237),tagRFID(29),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike8,awaiting_follower,nil,bike(6),nil,31448,40000,false,tagRFID(20),tagRFID(13),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike9,idle,nil,nil,nil,35940,40000,false,tagRFID(293),tagRFID(303),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike6,seeking_leader,nil,nil,bike(8),38609,40000,true,tagRFID(20),tagRFID(116),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike7,idle,nil,nil,nil,37562,40000,false,tagRFID(6),tagRFID(3),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike4,idle,nil,nil,nil,34392,40000,false,tagRFID(44),tagRFID(45),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike5,idle,nil,nil,nil,34111,40000,false,tagRFID(239),tagRFID(248),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike18,awaiting_follower,nil,bike(44),nil,33516,40000,false,tagRFID(161),tagRFID(108),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike19,idle,nil,nil,nil,30746,40000,false,tagRFID(172),tagRFID(211),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike16,seeking_leader,nil,nil,bike(33),36564,40000,true,tagRFID(125),tagRFID(124),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike17,following,nil,nil,bike(43),38215,40000,false,tagRFID(271),tagRFID(282),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike14,idle,nil,nil,nil,33046,40000,false,tagRFID(237),tagRFID(29),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike15,idle,nil,nil,nil,34758,40000,false,tagRFID(32),tagRFID(30),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike12,awaiting_follower,nil,bike(48),nil,31959,40000,false,tagRFID(257),tagRFID(142),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike13,idle,nil,nil,nil,33876,40000,false,tagRFID(191),tagRFID(272),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike2,awaiting_follower,nil,bike(21),nil,30891,40000,false,tagRFID(268),tagRFID(160),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike3,awaiting_follower,nil,bike(38),nil,30799,40000,false,tagRFID(277),tagRFID(312),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike0,idle,nil,nil,nil,32856,40000,false,tagRFID(59),tagRFID(60),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike1,idle,nil,nil,nil,33987,40000,false,tagRFID(99),tagRFID(96),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike42,idle,nil,nil,nil,35933,40000,false,tagRFID(134),tagRFID(233),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike43,idle,nil,bike(17),nil,30575,40000,false,tagRFID(271),tagRFID(282),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike40,idle,nil,nil,nil,31034,40000,false,tagRFID(296),tagRFID(274),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike41,idle,nil,nil,nil,38524,40000,false,tagRFID(185),tagRFID(215),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike38,seeking_leader,nil,nil,bike(3),37857,40000,true,tagRFID(281),tagRFID(312),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike39,awaiting_follower,nil,bike(47),nil,31036,40000,false,tagRFID(187),tagRFID(87),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike36,idle,nil,nil,nil,31221,40000,false,tagRFID(228),tagRFID(209),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike37,idle,nil,nil,nil,37103,40000,false,tagRFID(291),tagRFID(255),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike48,seeking_leader,nil,nil,bike(12),37124,40000,true,tagRFID(142),tagRFID(257),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike49,idle,nil,nil,nil,34918,40000,false,tagRFID(295),tagRFID(294),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike46,idle,nil,nil,nil,39064,40000,false,tagRFID(18),tagRFID(14),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike47,seeking_leader,nil,nil,bike(39),37192,40000,true,tagRFID(223),tagRFID(224),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike44,seeking_leader,nil,nil,bike(18),39244,40000,true,tagRFID(19),tagRFID(108),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike45,idle,nil,nil,nil,37452,40000,false,tagRFID(251),tagRFID(185),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike26,following,nil,nil,bike(34),37869,40000,false,tagRFID(186),tagRFID(112),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike27,idle,nil,nil,nil,34637,40000,false,tagRFID(18),tagRFID(14),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike24,idle,nil,nil,nil,39575,40000,false,tagRFID(215),tagRFID(185),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike25,idle,nil,nil,nil,32352,40000,false,tagRFID(78),tagRFID(77),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike22,awaiting_follower,nil,bike(29),nil,29977,40000,false,tagRFID(99),tagRFID(96),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike23,idle,nil,nil,nil,33767,40000,false,tagRFID(71),tagRFID(73),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike20,idle,nil,nil,nil,36389,40000,false,tagRFID(14),tagRFID(18),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike21,seeking_leader,nil,nil,bike(2),37832,40000,true,tagRFID(83),tagRFID(188),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike34,idle,nil,bike(26),nil,31810,40000,false,tagRFID(186),tagRFID(112),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike35,idle,nil,nil,nil,32559,40000,false,tagRFID(190),tagRFID(155),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike32,idle,nil,nil,nil,33888,40000,false,tagRFID(124),tagRFID(105),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike33,awaiting_follower,nil,bike(16),nil,31458,40000,false,tagRFID(127),tagRFID(126),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike30,idle,nil,nil,nil,37175,40000,false,tagRFID(111),tagRFID(150),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike31,idle,nil,nil,nil,39298,40000,false,tagRFID(198),tagRFID(275),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike28,idle,nil,nil,nil,31985,40000,false,tagRFID(210),tagRFID(196),0.0,0.0,0.0
1,2021-10-28 23:30:02,35.0,bike29,seeking_leader,nil,nil,bike(22),36257,40000,true,tagRFID(205),tagRFID(98),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike10,idle,nil,nil,nil,33204,40000,false,tagRFID(267),tagRFID(274),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike11,idle,nil,nil,nil,32697,40000,false,tagRFID(29),tagRFID(241),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike8,awaiting_follower,nil,bike(6),nil,31448,40000,false,tagRFID(20),tagRFID(13),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike9,idle,nil,nil,nil,35891,40000,false,tagRFID(293),tagRFID(303),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike6,seeking_leader,nil,nil,bike(8),38531,40000,true,tagRFID(20),tagRFID(20),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike7,idle,nil,nil,nil,37514,40000,false,tagRFID(6),tagRFID(3),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike4,idle,nil,nil,nil,34343,40000,false,tagRFID(44),tagRFID(46),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike5,idle,nil,nil,nil,34062,40000,false,tagRFID(248),tagRFID(249),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike18,awaiting_follower,nil,bike(44),nil,33516,40000,false,tagRFID(161),tagRFID(108),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike19,idle,nil,nil,nil,30697,40000,false,tagRFID(211),tagRFID(172),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike16,seeking_leader,nil,nil,bike(33),36486,40000,true,tagRFID(125),tagRFID(125),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike17,following,nil,nil,bike(43),38088,40000,false,tagRFID(271),tagRFID(282),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike14,idle,nil,nil,nil,32997,40000,false,tagRFID(29),tagRFID(237),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike15,idle,nil,nil,nil,34709,40000,false,tagRFID(32),tagRFID(30),0.0,0.0,0.0
2,2021-10-28 23:30:02,70.0,bike12,awaiting_follower,nil,bike(48),nil,31959,40000,false,tagRFID(257),tagRFID(142),0.0,0.0,0.0
