tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
1358,2019-10-07 01:23:43.9630,2019-10-07 01:46:22.5600,189,Kendall T,42.362427842912396,-71.08495473861693,333,699 Mt Auburn St,42.37500235137831,-71.14871613699506,4933,Subscriber,1982,0,203475,-71.08513341325761,42.36435134164994,81700,-71.15149589370228,42.37652241019721,5023.0,6382.0
2127,2019-10-07 01:37:04.5720,2019-10-07 02:12:31.7530,107,Ames St at Main St,42.3625,-71.08821999999999,183,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,5879,Subscriber,1964,1,259919,-71.08550815795559,42.36192177694763,258464,-71.14019252300885,42.396257506459456,5824.0,7951.0
757,2019-10-07 01:39:28.9300,2019-10-07 01:52:05.9930,144,Rogers St & Land Blvd,42.36575798214837,-71.07699394226073,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,3184,Subscriber,1992,1,257611,-71.07850643347486,42.366235254245915,225114,-71.09839871013875,42.35822541859523,5968.0,6725.0
273,2019-10-07 02:51:34.4460,2019-10-07 02:56:08.2650,318,Ames St at Broadway,42.363692900000004,-71.0875672,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,2613,Subscriber,1992,1,190681,-71.08759195664243,42.36536025088269,69918,-71.09891009314188,42.3667260788512,10294.0,10568.0
165,2019-10-07 03:21:53.4050,2019-10-07 03:24:38.4090,318,Ames St at Broadway,42.363692900000004,-71.0875672,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,3894,Subscriber,1990,1,246685,-71.09053915322882,42.36343099754456,20725,-71.0935806076122,42.368420509426834,12113.0,12278.0
225,2019-10-07 04:07:52.2360,2019-10-07 04:11:37.7150,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,53,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,4753,Subscriber,1999,1,259993,-71.091345915819,42.357408050612506,247883,-71.08842505,42.350000900000005,14872.0,15097.0
662,2019-10-07 04:39:42.8450,2019-10-07 04:50:45.1680,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,6,Cambridge St at Joy St,42.361211653079856,-71.06530619789737,5143,Subscriber,1994,1,260501,-71.09764549468042,42.36781244169122,249522,-71.06390848238706,42.36072140055077,16782.0,17445.0
442,2019-10-07 05:02:52.0370,2019-10-07 05:10:14.8520,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,5042,Subscriber,1993,1,125052,-71.08243434335878,42.369761120427015,257957,-71.06222615361504,42.36546580527061,18172.0,18614.0
1106,2019-10-07 05:32:42.9330,2019-10-07 05:51:09.0560,144,Rogers St & Land Blvd,42.36575798214837,-71.07699394226073,11,Longwood Ave at Binney St,42.338629,-71.1065,3920,Subscriber,1988,2,225540,-71.07396773232236,42.36666591124953,122198,-71.10611290576752,42.340775734263026,19962.0,21069.0
617,2019-10-07 05:38:18.3380,2019-10-07 05:48:36.0460,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5951,Subscriber,1993,2,20,-71.07787524109992,42.36968313019355,201809,-71.09108473972115,42.35945065790162,20298.0,20916.0
